SerialNumber,Weight,Description,Type,Size
61913,12,Cyrtodactylus louisiadensis,2,15
18823,64,Merops sp.,5,8
78619,75,Acridotheres tristis,10,20
79205,68,Graspus graspus,7,16
52121,96,Dolichitus patagonum,6,24
23113,50,Echimys chrysurus,7,21
53269,27,Paraxerus cepapi,5,14
52297,31,Orcinus orca,7,6
70007,68,unavailable,3,8
49889,92,Hyaena hyaena,3,5
84558,78,Agama sp.,9,18
92892,50,Sagittarius serpentarius,4,9
17988,62,Neophron percnopterus,5,18
90036,74,Tayassu pecari,9,4
94457,78,Nectarinia chalybea,9,8
72867,39,Boa caninus,7,1
84729,10,Ramphastos tucanus,7,4
55957,35,Ploceus intermedius,4,9
33890,30,Chlamydosaurus kingii,5,7
63907,27,Meleagris gallopavo,4,8
